-- STATISTICS --

Step: A-3: total number of steps-> 519, mean duration-> 0.49723113s
Step: E-4: total number of steps-> 542, mean duration-> 0.505323s
Step: A-4: total number of steps-> 3, mean duration-> 0.21179879s


-- DETAILED --


Step E-4: @191.20833, 0.3333435s
Step A-3: @191.77083, 0.3333435s
Step E-4: @192.3125, 0.33332825s
Step A-3: @192.84375, 0.35417175s
Step E-4: @193.375, 0.36457825s
Step A-3: @193.9375, 0.32292175s
Step E-4: @194.47917, 0.33332825s
Step A-3: @195.02083, 0.3645935s
Step E-4: @195.5625, 0.34375s
Step A-3: @196.10417, 0.3125s
Step E-4: @196.63542, 0.3229065s
Step A-3: @197.16667, 0.33332825s
Step E-4: @197.71875, 0.30207825s
Step A-3: @198.25, 0.29167175s
Step E-4: @198.79167, 0.3541565s
Step A-3: @199.34375, 0.30207825s
Step E-4: @199.875, 0.33332825s
Step A-3: @200.42708, 0.3333435s
Step E-4: @200.94792, 0.3541565s
Step A-3: @201.48958, 0.32292175s
Step E-4: @202.02083, 0.29167175s
Step A-3: @202.5625, 0.29167175s
Step E-4: @203.08333, 0.34375s
Step A-3: @203.625, 0.34375s
Step E-4: @204.16667, 0.3229065s
Step A-3: @204.71875, 0.30207825s
Step E-4: @205.22917, 0.3541565s
Step A-3: @205.77083, 0.35417175s
Step E-4: @206.33333, 0.3125s
Step A-3: @206.85417, 0.34375s
Step E-4: @207.38542, 0.3541565s
Step A-3: @207.9375, 0.34375s
Step E-4: @208.46875, 0.3125s
Step A-3: @209.0, 0.30207825s
Step E-4: @209.53125, 0.28125s
Step A-3: @210.07292, 0.30207825s
Step E-4: @210.59375, 0.32292175s
Step A-3: @211.125, 0.3125s
Step E-4: @211.67708, 0.19792175s
Step A-3: @212.19792, 0.3229065s
Step E-4: @212.72917, 0.33332825s
Step A-3: @213.26042, 0.3541565s
Step E-4: @213.82292, 0.3229065s
Step A-3: @214.36458, 0.22917175s
Step E-4: @214.90625, 0.3125s
Step A-3: @215.44792, 0.28125s
Step E-4: @215.96875, 0.30207825s
Step A-3: @216.48958, 0.32292175s
Step E-4: @217.02083, 0.32292175s
Step A-3: @217.5625, 0.3125s
Step E-4: @218.09375, 0.30207825s
Step A-3: @218.625, 0.33332825s
Step E-4: @219.15625, 0.33332825s
Step A-3: @219.69792, 0.3229065s
Step E-4: @220.22917, 0.33332825s
Step A-3: @220.76042, 0.3229065s
Step E-4: @221.29167, 0.33332825s
Step A-3: @221.82292, 0.3229065s
Step E-4: @222.35417, 0.3229065s
Step A-3: @222.89583, 0.32292175s
Step E-4: @223.4375, 0.33332825s
Step A-3: @223.95833, 0.34375s
Step E-4: @224.51042, 0.30207825s
Step A-3: @225.04167, 0.3125s
Step E-4: @225.57292, 0.3229065s
Step A-3: @226.11458, 0.3125s
Step E-4: @226.64583, 0.29167175s
Step A-3: @227.16667, 0.3125s
Step E-4: @227.70833, 0.3333435s
Step A-3: @228.25, 0.33332825s
Step E-4: @228.79167, 0.3541565s
Step A-3: @229.34375, 0.33332825s
Step E-4: @229.875, 0.375s
Step A-3: @230.4375, 0.3125s
Step E-4: @230.95833, 0.34375s
Step A-3: @231.5, 0.32292175s
Step E-4: @232.04167, 0.27082825s
Step A-3: @232.55208, 0.3333435s
Step E-4: @233.10417, 0.34375s
Step A-3: @233.65625, 0.30207825s
Step E-4: @234.1875, 0.29167175s
Step A-3: @234.70833, 0.35417175s
Step E-4: @235.25, 0.35417175s
Step A-3: @235.79167, 0.33332825s
Step E-4: @236.33333, 0.3125s
