-- STATISTICS --

Step: A-3: total number of steps-> 478, mean duration-> 0.39548445s
Step: E-4: total number of steps-> 513, mean duration-> 0.42028126s
Step: A-4: total number of steps-> 3, mean duration-> 0.20834012s


-- DETAILED --


Step A-3: @150.91667, 0.2604065s
Step E-4: @151.4375, 0.29167175s
Step A-3: @151.94792, 0.3125s
Step E-4: @152.46875, 0.30207825s
Step A-3: @153.0, 0.29167175s
Step E-4: @153.52083, 0.3020935s
Step A-3: @154.04167, 0.28125s
Step E-4: @154.5625, 0.3125s
Step A-3: @155.09375, 0.26042175s
Step E-4: @155.60417, 0.28125s
Step A-3: @156.11458, 0.3333435s
Step E-4: @156.63542, 0.3125s
Step A-3: @157.15625, 0.30207825s
Step E-4: @157.67708, 0.26042175s
Step A-3: @158.19792, 0.30207825s
Step E-4: @158.71875, 0.28125s
Step A-3: @159.23958, 0.22917175s
Step E-4: @159.75, 0.30207825s
Step A-3: @160.27083, 0.28125s
Step E-4: @160.79167, 0.3229065s
Step A-3: @161.32292, 0.28125s
Step E-4: @161.82292, 0.34375s
Step A-3: @162.35417, 0.33332825s
Step E-4: @162.88542, 0.27082825s
Step A-3: @163.39583, 0.32292175s
Step E-4: @163.92708, 0.3020935s
Step A-3: @164.44792, 0.28125s
Step E-4: @164.96875, 0.32292175s
Step A-3: @165.47917, 0.33332825s
Step E-4: @166.02083, 0.28125s
Step A-3: @166.54167, 0.30207825s
Step E-4: @167.04167, 0.3125s
Step A-3: @167.57292, 0.3125s
Step E-4: @168.08333, 0.29167175s
Step A-3: @168.60417, 0.28125s
Step E-4: @169.125, 0.32292175s
Step A-3: @169.64583, 0.28125s
Step E-4: @170.16667, 0.3125s
Step A-3: @170.6875, 0.32292175s
Step E-4: @171.20833, 0.21875s
Step A-3: @171.70833, 0.3125s
Step E-4: @172.22917, 0.30207825s
Step A-3: @172.73958, 0.3020935s
Step E-4: @173.26042, 0.30207825s
Step A-3: @173.78125, 0.3125s
Step E-4: @174.30208, 0.34375s
Step A-3: @174.8125, 0.30207825s
Step E-4: @175.33333, 0.3333435s
Step A-3: @175.86458, 0.28125s
Step E-4: @176.375, 0.23957825s
Step A-3: @176.88542, 0.30207825s
Step E-4: @177.39583, 0.32292175s
Step A-3: @177.91667, 0.2291565s
Step E-4: @178.44792, 0.2604065s
Step A-3: @178.95833, 0.26042175s
Step E-4: @179.46875, 0.28125s
Step A-3: @179.97917, 0.28125s
Step E-4: @180.5, 0.28125s
Step A-3: @181.01042, 0.3229065s
Step E-4: @181.52083, 0.32292175s
Step A-3: @182.04167, 0.2916565s
Step E-4: @182.54167, 0.2916565s
Step A-3: @183.05208, 0.3020935s
Step E-4: @183.57292, 0.28125s
Step A-3: @184.08333, 0.29167175s
Step E-4: @184.59375, 0.30207825s
Step A-3: @185.10417, 0.3125s
Step E-4: @185.625, 0.27082825s
Step A-3: @186.13542, 0.30207825s
Step E-4: @186.66667, 0.28125s
Step A-3: @187.1875, 0.20832825s
Step E-4: @187.69792, 0.30207825s
Step A-3: @188.21875, 0.23957825s
Step E-4: @188.75, 0.21875s
Step A-3: @189.23958, 0.3333435s
Step E-4: @189.77083, 0.29167175s
Step A-3: @190.28125, 0.27082825s
Step E-4: @190.79167, 0.27082825s
Step A-3: @191.29167, 0.33332825s
Step E-4: @191.83333, 0.28125s
Step A-3: @192.35417, 0.2604065s
Step E-4: @192.86458, 0.3020935s
Step A-3: @193.375, 0.30207825s
Step E-4: @193.90625, 0.22917175s
Step A-3: @194.41667, 0.25s
Step E-4: @194.91667, 0.2916565s
Step A-3: @195.4375, 0.29167175s
Step E-4: @195.94792, 0.27082825s
Step A-3: @196.46875, 0.22917175s
Step E-4: @196.97917, 0.3125s
Step A-3: @197.5, 0.27082825s
Step E-4: @198.02083, 0.29167175s
Step A-3: @198.53125, 0.25s
Step E-4: @199.04167, 0.27082825s
Step A-3: @199.55208, 0.28125s
Step E-4: @200.07292, 0.2604065s
Step A-3: @200.60417, 0.25s
Step E-4: @201.11458, 0.25s
Step A-3: @201.625, 0.29167175s
Step E-4: @202.14583, 0.3020935s
Step A-3: @202.65625, 0.29167175s
Step E-4: @203.17708, 0.3020935s
Step A-3: @203.6875, 0.3125s
Step E-4: @204.20833, 0.3020935s
Step A-3: @204.72917, 0.2916565s
Step E-4: @205.23958, 0.3125s
Step A-3: @205.75, 0.30207825s
Step E-4: @206.27083, 0.3125s
Step A-3: @206.79167, 0.23957825s
Step E-4: @207.29167, 0.3229065s
Step A-3: @207.8125, 0.33332825s
Step E-4: @208.34375, 0.28125s
Step A-3: @208.85417, 0.27082825s
Step E-4: @209.375, 0.33332825s
Step A-3: @209.89583, 0.26042175s
Step E-4: @210.40625, 0.3125s
Step A-3: @210.91667, 0.2916565s
Step E-4: @211.42708, 0.34375s
Step A-3: @211.95833, 0.3020935s
Step E-4: @212.47917, 0.27082825s
Step A-3: @212.98958, 0.26042175s
Step E-4: @213.5, 0.28125s
Step A-3: @214.01042, 0.3229065s
Step E-4: @214.54167, 0.3125s
Step A-3: @215.0625, 0.27082825s
Step E-4: @215.57292, 0.3229065s
Step A-3: @216.10417, 0.23957825s
Step E-4: @216.625, 0.29167175s
Step A-3: @217.125, 0.3125s
Step E-4: @217.65625, 0.30207825s
Step A-3: @218.17708, 0.22917175s
Step E-4: @218.67708, 0.32292175s
Step A-3: @219.20833, 0.26042175s
Step E-4: @219.70833, 0.32292175s
Step A-3: @220.22917, 0.30207825s
Step E-4: @220.75, 0.32292175s
Step A-3: @221.27083, 0.2708435s
Step E-4: @221.78125, 0.34375s
Step A-3: @222.3125, 0.22917175s
Step E-4: @222.82292, 0.28125s
Step A-3: @223.35417, 0.1979065s
Step E-4: @223.85417, 0.28125s
Step A-3: @224.35417, 0.33332825s
Step E-4: @224.88542, 0.30207825s
Step A-3: @225.39583, 0.3333435s
Step E-4: @225.92708, 0.32292175s
Step A-3: @226.4375, 0.27082825s
Step E-4: @226.95833, 0.28125s
Step A-3: @227.47917, 0.3125s
Step E-4: @227.98958, 0.2708435s
Step A-3: @228.52083, 0.1770935s
Step E-4: @229.02083, 0.28125s
Step A-3: @229.53125, 0.34375s
Step E-4: @230.0625, 0.3125s
Step A-3: @230.58333, 0.3125s
Step E-4: @231.10417, 0.30207825s
Step A-3: @231.625, 0.33332825s
Step E-4: @232.14583, 0.32292175s
Step A-3: @232.66667, 0.27082825s
Step E-4: @233.17708, 0.3333435s
Step A-3: @233.70833, 0.3125s
Step E-4: @234.21875, 0.34375s
Step A-3: @234.75, 0.22917175s
Step E-4: @235.27083, 0.26042175s
Step A-3: @235.78125, 0.23957825s
Step E-4: @236.3125, 0.30207825s
Step A-3: @236.85417, 0.2916565s
Step E-4: @237.375, 0.28125s
Step A-3: @237.875, 0.29167175s
Step E-4: @238.41667, 0.30207825s
Step A-3: @238.9375, 0.3125s
Step E-4: @239.45833, 0.3020935s
Step A-3: @239.96875, 0.32292175s
Step E-4: @240.51042, 0.25s
Step A-3: @241.02083, 0.3125s
Step E-4: @241.54167, 0.30207825s
Step A-3: @242.05208, 0.3020935s
Step E-4: @242.57292, 0.30207825s
Step A-3: @243.10417, 0.1979065s
Step E-4: @243.61458, 0.25s
Step A-3: @244.125, 0.28125s
Step E-4: @244.64583, 0.2708435s
Step A-3: @245.15625, 0.27082825s
Step E-4: @245.67708, 0.28125s
Step A-3: @246.19792, 0.2604065s
Step E-4: @246.71875, 0.26042175s
Step A-3: @247.22917, 0.2291565s
Step E-4: @247.75, 0.25s
Step A-3: @248.27083, 0.2708435s
Step E-4: @248.79167, 0.27082825s
Step A-3: @249.30208, 0.2395935s
Step E-4: @249.83333, 0.3125s
Step A-3: @250.35417, 0.30207825s
Step E-4: @250.875, 0.29167175s
Step A-3: @251.39583, 0.3020935s
Step E-4: @251.90625, 0.29167175s
Step A-3: @252.42708, 0.29167175s
Step E-4: @252.94792, 0.28125s
Step A-3: @253.45833, 0.26042175s
Step E-4: @253.97917, 0.3125s
Step A-3: @254.5, 0.28125s
Step E-4: @255.0, 0.3125s
Step A-3: @255.51042, 0.3229065s
Step E-4: @256.03125, 0.28125s
Step A-3: @256.53125, 0.28125s
Step E-4: @257.04166, 0.260437s
